Date,July_13_June_14_fw,July_14_June_15_fw
11/18/2013,,36.49501103
11/19/2013,,36.44816486
11/20/2013,,36.3049351
11/21/2013,,36.59455906
11/22/2013,,36.69376936
11/25/2013,,36.82118503
11/26/2013,,36.84417918
11/27/2013,,36.84989059
11/28/2013,,37.24159622
11/29/2013,,36.96104979
12/2/2013,,36.97569665
12/3/2013,,37.03113852
12/4/2013,,37.00797307
12/5/2013,,37.02753058
12/6/2013,,37.27916329
12/9/2013,,37.21466159
12/10/2013,,37.27535728
12/11/2013,,37.27888033
12/12/2013,,37.43794864
12/13/2013,,37.22791766
12/16/2013,,37.07382562
12/17/2013,,37.07801173
12/18/2013,,37.03949426
12/19/2013,,36.95020779
12/20/2013,,37.23494345
12/23/2013,,37.11703727
12/24/2013,,37.10492325
12/25/2013,,37.40699214
12/26/2013,,37.01739618
12/27/2013,,37.01199471
12/30/2013,,37.03451847
12/31/2013,,37.16066824
1/1/2014,,35.75677513
1/2/2014,,36.95244412
1/3/2014,,37.28586831
1/6/2014,,37.33838544
1/7/2014,,37.42397581
1/8/2014,,37.64186967
1/9/2014,,37.34256672
1/10/2014,,37.21451535
1/13/2014,,37.75158589
1/14/2014,,38.50441745
1/15/2014,,38.57873051
1/16/2014,,39.15035154
1/17/2014,,39.36120846
1/20/2014,,39.22550283
1/21/2014,,39.60311107
1/22/2014,,40.10244779
1/23/2014,,40.31147821
1/24/2014,,40.54804807
1/27/2014,,41.19846557
1/28/2014,,40.2579769
1/29/2014,,39.9674606
1/30/2014,,40.22672358
1/31/2014,,39.90790041
2/3/2014,,40.02959356
2/4/2014,,40.27237617
2/5/2014,,40.73625888
2/6/2014,,40.68956907
2/7/2014,,40.58524186
2/10/2014,,40.36923162
2/11/2014,,40.44035275
2/12/2014,,40.41534255
2/13/2014,,40.55601133
2/14/2014,,40.72844122
2/17/2014,,40.78530718
2/18/2014,,40.84847462
2/19/2014,,41.20384479
2/20/2014,,41.68520309
2/21/2014,,41.22272446
2/24/2014,,41.94567802
2/25/2014,,41.71323085
2/26/2014,,41.69797761
2/27/2014,,41.61359819
2/28/2014,,41.77137114
3/3/2014,,41.82115838
3/4/2014,,42.04953099
3/5/2014,,42.25528749
3/6/2014,,42.36565306
3/7/2014,,42.35733899
3/10/2014,,42.99299827
3/11/2014,,43.01650173
3/12/2014,,42.93004928
3/13/2014,,42.95927036
3/14/2014,,42.79542156
3/17/2014,,42.84602954
3/18/2014,,43.20099925
3/19/2014,,43.33687472
3/20/2014,,43.41045157
3/21/2014,,43.23068966
3/24/2014,,43.13427989
3/25/2014,,43.0755784
3/26/2014,,43.26619237
3/27/2014,,43.46841194
3/28/2014,,43.72594445
3/31/2014,,43.57630203
4/1/2014,,43.39336259
4/2/2014,,43.75791877
4/3/2014,,43.9030498
4/4/2014,,44.67084021
4/7/2014,,44.77753375
4/8/2014,,44.9191041
4/9/2014,,45.00280253
4/10/2014,,44.44853418
4/11/2014,,44.88172548
4/14/2014,,44.68390199
4/15/2014,,44.65081684
4/16/2014,,44.64908297
4/17/2014,,44.64865407
4/18/2014,,44.70718891
4/21/2014,,44.67749525
4/22/2014,,44.87291741
4/23/2014,,45.02615683
4/24/2014,,45.17732157
4/25/2014,,45.50073688
4/28/2014,,45.56003723
4/29/2014,,46.53595729
4/30/2014,,47.01237472
5/1/2014,,47.77681916
5/2/2014,,47.49836771
5/5/2014,,47.12240425
5/6/2014,,47.14951278
5/7/2014,,47.11114596
5/8/2014,,46.88164352
5/9/2014,,47.0616624
5/12/2014,,46.67082945
5/13/2014,,46.4483344
5/14/2014,,46.21182625
5/15/2014,,46.25086764
5/16/2014,,45.98697016
5/19/2014,,45.8531682
5/20/2014,,45.95519409
5/21/2014,,45.77131179
5/22/2014,,45.59239957
5/23/2014,,45.28849593
5/26/2014,,45.32360513
5/27/2014,,45.45576529
5/28/2014,,45.75229764
5/29/2014,,46.22749296
5/30/2014,,46.40537187
6/2/2014,,46.03308198
6/3/2014,,46.24116286
6/4/2014,,46.25104697
6/5/2014,,46.18953338
6/6/2014,,46.10956643
6/9/2014,,45.8242584
6/10/2014,,45.7271592
6/11/2014,,45.49279272
6/12/2014,,45.51545096
6/13/2014,,45.8810368
6/16/2014,,46.26139023
6/17/2014,,46.29840178
6/18/2014,,46.02676719
6/19/2014,,45.66526361
6/20/2014,,45.29744002
6/23/2014,,44.90565629
6/24/2014,,44.76439486
6/25/2014,,45.05614329
6/26/2014,,45.00713776
6/27/2014,,44.69158213
6/30/2014,,44.76738568
